trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.3, 'e': 0.7121803260465106}",20,0,-27.711595254688515,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.3, 'e': 0.7110915178542817}",20,0,-39.92990190233963,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
154,False,"{'a': 0.3, 'e': 0.7099972742294152}",35,4,-82.97760293606939,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 1}",1
155,False,"{'a': 0.3, 'e': 0.7088976254041108}",25,0,-36.91847580204217,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
156,False,"{'a': 0.3, 'e': 0.7077926017259267}",30,10,-32.76952261299822,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.706682233656387}",25,0,-110.72279913075442,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
158,False,"{'a': 0.3, 'e': 0.705566551769587}",35,8,-116.7783407264107,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 1}",1
159,False,"{'a': 0.3, 'e': 0.7044455867507945}",20,10,-46.0653670569985,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
160,False,"{'a': 0.3, 'e': 0.7033193693950477}",20,0,-61.17857863676773,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
161,False,"{'a': 0.3, 'e': 0.7021879306057502}",20,0,-39.98107009240313,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
162,False,"{'a': 0.3, 'e': 0.7010513013932627}",30,0,-117.05408137688413,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
163,False,"{'a': 0.3, 'e': 0.6999095128734911}",20,0,-95.28430807250456,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
164,False,"{'a': 0.3, 'e': 0.6987625962664724}",35,16,-105.5303606079196,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
165,False,"{'a': 0.3, 'e': 0.6976105828949574}",25,2,-98.95628253523384,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 1}",1
166,False,"{'a': 0.3, 'e': 0.6964535041829899}",25,0,-18.780310048968303,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.3, 'e': 0.6952913916544845}",20,2,-4.539286560006226,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.6941242769318007}",20,0,-126.03769139684162,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
169,False,"{'a': 0.3, 'e': 0.6929521917343149}",25,6,-19.999958327813083,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.6917751678769896}",20,4,-1.5469409400399419,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.6905932372689406}",25,0,-87.81959374793989,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.3, 'e': 0.6894064319120022}",20,3,-40.39240144839773,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
173,False,"{'a': 0.3, 'e': 0.6882147838992894}",20,0,-63.72902243634309,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
174,False,"{'a': 0.3, 'e': 0.687018325413758}",20,2,-43.28287505582183,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
175,False,"{'a': 0.3, 'e': 0.6858170887267642}",25,0,-27.461202860999578,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
176,False,"{'a': 0.3, 'e': 0.6846111061966202}",20,10,-31.178000935667985,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.3, 'e': 0.6834004102671496}",20,0,-37.354408402957056,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
